snp,b37,b38,minor is reference
rs12031785,1:219686440-219686440,1:219513098-219513098,N
rs1537818,1:39647038-39647038,1:39181366-39181366,Y
rs7079711,10:114745788-114745788,10:112986029-112986029,N
rs74810181,10:115080503-115080503,10:113320744-113320744,N
rs33932777,10:12311465-12311465,10:12269466-12269466,N
rs12570111,10:12325058-12325058,10:12283059-12283059,N
rs7912748,10:12658743-12658743,10:12616744-12616744,N
rs2812533,10:71452285-71452285,10:69692529-69692529,Y
rs4936409,11:117694392-117694392,11:117823677-117823677,Y
rs757110,11:17418477-17418477,11:17396930-17396930,Y
rs231903,11:2729946-2729946,11:2708716-2708716,Y
rs2577960,15:42028354-42028354,15:41736156-41736156,Y
rs9929462,16:294210-294210,16:244211-244211,N
rs35944094,17:17400635-17400635,17:17497321-17497321,Y
rs3094515,17:36043653-36043653,17:37683650-37683650,N
rs35226705,19:46301456-46301456,19:45798198-45798198,N
rs114961124,5:162935998-162935998,5:163508992-163508992,N
rs115018790,5:52088271-52088271,5:52792437-52792437,N
rs140453320,5:64485239-64485239,5:65189412-65189412,N
rs7773338,6:133100128-133100128,6:132778989-132778989,Y
rs11553430,6:32136771-32136771,6:32168994-32168994,N
rs35484705,6:32583051-32583051,6:32615274-32615274,N
rs2714337,6:7240577-7240577,6:7240344-7240344,N
rs972283,7:130466854-130466854,7:130782095-130782095,Y
rs143545473,7:28077270-28077270,7:28037651-28037651,N
rs138760676,7:28107505-28107505,7:28067886-28067886,N
rs755900673,8:2008956-2008956,8:2060836-2060836,N
rs11311906,8:2008956-2008957,8:2060836-2060837,N
rs139998786,8:79662469-79662469,8:78750234-78750234,N
rs12555274,9:22136440-22136440,9:22136441-22136441,N
rs75518966,9:71045124-71045124,9:68430208-68430208,N
